ID,Price
353,2
354,5.25
355,16
356,58.5
357,115
358,126
359,94
360,161
361,300
362,230
363,19.25
364,15.75
365,32
366,90
367,21.6
368,13.5
369,
370,20
371,40
372,18
373,27
374,23
375,75
376,
377,14.5
378,22.2
379,35
380,8
381,15
382,10
383,15
384,8
385,8
386,3.25
387,
388,
389,18
390,14
391,168
392,63
393,15
394,4
395,6.75
396,13.5
397,80
398,60
399,18
400,910
401,40
402,94.5
403,903
404,12.25
405,46
406,5700
407,34
408,18
409,23
410,56
411,7
412,30
413,35
414,19.2
415,44
416,37.75
417,26.5
418,424
419,30.5
420,42
421,325
422,415
423,19.8
424,15
425,75
426,37.5
427,30
428,60
429,24.5
430,27
431,50
432,65
433,27
434,105
435,280
436,21
437,240
438,70
439,8
440,10
441,
442,13.2
443,16.2
444,70
445,13.25
446,27
447,65
448,26.25
449,9
450,26.25
451,8
452,
453,6.75
454,95
455,1.65
456,1.75
457,69
458,64
459,64
460,48
461,85
462,74
463,79.75
464,18
465,48
466,69
467,8
468,42
469,35
470,76
471,84
472,63
473,56
474,135
475,67
476,50
477,60
478,67
479,67
480,67
481,50
482,850
483,18
484,55
485,40
486,65
487,5.7
488,
489,10
490,150
491,36
492,475
493,13.5
494,7.25
495,3
496,54
497,15
498,30
499,21
500,43.25
501,43.25
502,30
503,24
504,20.5
505,144
506,13.2
507,33
508,25.25
509,42
510,32
511,40
512,110
513,425
514,58
515,58
516,57.5
517,33.5
518,54
519,54
520,11.25
521,38
522,30
523,20
524,66.5
525,325
526,159
527,136.5
528,5.5
529,65
530,18
531,2
532,16
533,13.5
534,144
535,29
536,29
537,16
538,27
539,19.25
540,79
541,92
542,32
543,87
544,16.8
545,29.9
546,20
547,64
548,74
549,87
550,1100
551,74
552,18
553,176
554,31.5
555,35
556,43
557,117.75
558,90
559,96
560,7
561,23.5
562,228
563,46.5
564,144
565,104
566,6.75
567,9.75
568,95
569,18
570,13.25
571,244
572,32
573,30
574,24
575,264
576,22
577,12
578,29
579,24
580,17
581,60
582,48
583,48
584,29
585,38
586,66
587,36
588,36
589,52
590,6.45
591,8
592,210
593,58
594,106
595,210
596,60
597,30
598,8.75
599,13.2
600,18
601,95
602,27
603,17.5
604,5750
605,2170
606,6300
607,21.6
608,87
609,54
610,56
611,60
612,147
613,33.75
614,8.25
615,24.75
616,
617,4
618,90
619,110
620,109.5
621,14.5
622,8
623,30
624,18
625,13
626,10.75
627,18
628,5
629,392
630,78
631,9
632,71
633,180
634,22
635,42
636,14
637,21
638,27
639,39
640,36
641,22
642,225
643,3.6
644,19
645,3.8
646,4
647,12
648,124
649,
650,17.25
651,14.5
652,3.75
653,9
654,
655,43.25
656,8
657,1.5
658,11.75
659,40.5
660,99
661,225
662,28.5
663,6.25
664,12.5
665,4.25
666,55
667,45
668,19.5
669,140
670,95
671,95
672,10
673,10.25
674,210
675,33
676,52
677,210
678,90
679,24.75
680,21.6
681,21
682,49
683,75
684,28.5
685,93
686,22
687,50
688,18
689,12
690,2
691,105
692,93
693,650
694,36
695,9
696,295
697,24
698,29
699,95
700,144
701,40
702,26.5
703,
704,26.5
705,26.5
706,26.5
707,130
708,120
709,10
710,13
711,8.5
712,12.75
713,12.75
714,14
715,90
716,52.5
717,34
718,113
719,90
720,1344
721,50
722,45
723,63
724,36
725,17
726,18
727,6.75
728,8.5
729,15
730,225
